Statut¤Volume¤Mois
A traiter ESC¤2445¤2/2025
A traiter ESC¤2333¤3/2025
A traiter ESC¤2464¤4/2025
A traiter ESC¤2139¤5/2025
A traiter ESC¤408¤6/2025
Blocage¤2¤2/2025
Blocage¤1¤5/2025
Mail non remis¤949¤2/2025
Mail non remis¤883¤3/2025
Mail non remis¤872¤4/2025
Mail non remis¤693¤5/2025
Mail non remis¤127¤6/2025
Supprimé¤2539¤2/2025
Supprimé¤2064¤3/2025
Supprimé¤2365¤4/2025
Supprimé¤2219¤5/2025
Supprimé¤542¤6/2025
Traité par Voxens¤31982¤2/2025
Traité par Voxens¤29502¤3/2025
Traité par Voxens¤26957¤4/2025
Traité par Voxens¤23078¤5/2025
Traité par Voxens¤4853¤6/2025
